,Run,Iteration,Time,Brown,Green,Blue,Pink,Yellow,Forrest,Red,Total
0,1,1,2024-03-13 11:15:46,0,0,0,0,0,0,0,0
1,1,2,2024-03-13 11:15:47,0,0,0,0,0,0,0,0
2,1,3,2024-03-13 11:15:48,0,0,0,0,0,0,0,0
3,2,1,2024-03-13 11:15:48,0,0,0,0,0,0,0,0
4,2,2,2024-03-13 11:15:49,0,0,0,0,0,0,0,0
5,2,3,2024-03-13 11:15:49,0,0,0,0,0,0,0,0
6,3,1,2024-03-13 11:15:50,0,0,0,0,0,0,0,0
7,3,2,2024-03-13 11:15:50,0,0,0,0,0,0,0,0
8,3,3,2024-03-13 11:15:51,0,0,0,0,0,0,0,0
9,3,4,2024-03-13 11:15:51,0,0,0,0,0,0,0,0
10,4,1,2024-03-13 11:15:52,0,0,0,0,0,0,0,0
11,4,1,2024-03-13 11:15:53,0,0,0,0,0,0,0,0
